ukprn,campusid,postcode,HESA_ID
10007760,BIRKBECK COLLEGE,WC1E 7HX,0127
10007761,COURTAULD INSTITUTE OF ART,WC2R 0RN,0201
10002718,GOLDSMITHS' COLLEGE,SE14 6NW,0131
10007825,GUILDHALL SCHOOL OF MUSIC & DRAMA,EC2Y 8DT,0208
10007765,HEYTHROP COLLEGE,W8 5HN,0205
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",SW7 2AZ,0132
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),SW7 3RP,0188
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",WC1H 0AL,0133
10003645,KING'S COLLEGE LONDON,WC2R 2LS,0134
10007769,LONDON BUSINESS SCHOOL,NW1 4SA,0135
10004048,LONDON METROPOLITAN UNIVERSITY,N7 8DB,0202
10004063,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,WC2A 2AE,0137
10007771,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,WC1E 7HT,0138
10004078,LONDON SOUTH BANK UNIVERSITY,SE1 0AA,0076
10004351,MIDDLESEX UNIVERSITY,NW4 4BT,0067
10007775,QUEEN MARY UNIVERSITY OF LONDON,E1 4NS,0139
10005389,RAVENSBOURNE,SE10 0EW,0030
10007776,ROEHAMPTON UNIVERSITY,SW15 5PJ,0031
10007835,ROYAL ACADEMY OF MUSIC,NW1 5HT,0033
10007777,ROYAL COLLEGE OF ART(THE),SW7 2EU,0003
10007778,ROYAL COLLEGE OF MUSIC,SW7 2BS,0034
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,WC1H 0XG,0146
10007781,SCHOOL OF PHARMACY UNIVERSITY OF LONDON(THE),WC1N 1AX,
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON",SW17 0RE,0145
10001478,THE CITY UNIVERSITY,EC1V 0HB,0115
10001653,THE CONSERVATOIRE FOR DANCE AND DRAMA,WC1H 9JJ,0199
10007816,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,NW3 3HY,0010
10007779,THE ROYAL VETERINARY COLLEGE,NW1 0TU,0143
10007165,THE UNIVERSITY OF WESTMINSTER,W1B 2HW,0083
10008017,TRINITY LABAN CONSERVATOIRE OF MUSIC AND DANCE LTD,SE10 9JF,0041
10007784,UNIVERSITY COLLEGE LONDON,WC1E 6BT,0149
10007144,UNIVERSITY OF EAST LONDON,E16 2RD,0058
10007146,UNIVERSITY OF GREENWICH,SE10 9LS,0059
10007797,UNIVERSITY OF LONDON,WC1E 7HU,0151
10007162,"UNIVERSITY OF THE ARTS, LONDON",WC1V 7EY,0024
10006566,UNIVERSITY OF WEST LONDON,W5 5RF,0080
