"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","0.0","43.0","4","E1 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","3","E1 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","3","E1 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","3","E1 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","36.0","4","E1 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","36.0","3","E1 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","32.0","3","E1 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","36.0","3","E1 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","E1 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","37.0","3","E1W 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","3","E1W 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","36.0","4","E1W 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","36.0","4","E1W 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","35.0","4","E2 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","E2 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","41.0","4","E2 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","3","E2 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","E2 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","39.0","4","E2 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","5","E3 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","5","E3 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","42.0","4","E3 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","51.0","5","E3 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","3","E3 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","4","E4 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","66.0","5","E4 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","66.0","4","E4 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","60.0","4","E4 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","60.0","4","E4 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","51.0","6","E5 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","54.0","5","E5 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","4","E5 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","54.0","5","E5 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","58.0","3","E6 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","58.0","4","E6 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","75.0","5","E6 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","66.0","7","E6 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","65.0","7","E6 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","78.0","6","E6 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","73.0","5","E6 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","69.0","6","E6 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","53.0","4","E7 0"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","47.0","4","E7 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","61.0","3","E7 8"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","4","E7 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","5","E8 1"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","40.0","4","E8 2"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","51.0","4","E8 3"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","52.0","4","E8 4"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","E8 9"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","44.0","5","E9 5"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","45.0","5","E9 6"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","54.0","4","E9 7"," WC1E 6BT","10007784"
"UCL  Main Campus","0.0","43.0","4","E9 9"," WC1E 6BT","10007784"
