campusId,distance,duration,legs,originPostcode,postcode,ukprn
UCL  Main Campus,0,35,3,E1, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,E10, WC1E 6BT,10007784
UCL  Main Campus,0,51,4,E11, WC1E 6BT,10007784
UCL  Main Campus,0,62,4,E12, WC1E 6BT,10007784
UCL  Main Campus,0,57,5,E13, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,E14, WC1E 6BT,10007784
UCL  Main Campus,0,49,4,E15, WC1E 6BT,10007784
UCL  Main Campus,0,64,5,E16, WC1E 6BT,10007784
UCL  Main Campus,0,41,3,E17, WC1E 6BT,10007784
UCL  Main Campus,0,48,4,E18, WC1E 6BT,10007784
UCL  Main Campus,0,41,4,E1W, WC1E 6BT,10007784
UCL  Main Campus,0,42,4,E2, WC1E 6BT,10007784
UCL  Main Campus,0,39,3,E3, WC1E 6BT,10007784
UCL  Main Campus,0,67,4,E4, WC1E 6BT,10007784
UCL  Main Campus,0,52,5,E5, WC1E 6BT,10007784
UCL  Main Campus,0,71,4,E6, WC1E 6BT,10007784
UCL  Main Campus,0,58,4,E7, WC1E 6BT,10007784
UCL  Main Campus,0,52,4,E8, WC1E 6BT,10007784
UCL  Main Campus,0,43,5,E9, WC1E 6BT,10007784
UCL  Main Campus,0,22,3,EC1, WC1E 6BT,10007784
UCL  Main Campus,0,18,3,EC1A, WC1E 6BT,10007784
UCL  Main Campus,0,20,3,EC1M, WC1E 6BT,10007784
UCL  Main Campus,0,20,3,EC1N, WC1E 6BT,10007784
UCL  Main Campus,0,23,3,EC1R, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,EC1V, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,EC1Y, WC1E 6BT,10007784
UCL  Main Campus,0,23,3,EC2, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,EC2A, WC1E 6BT,10007784
UCL  Main Campus,0,23,3,EC2M, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,EC2N, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,EC2P, WC1E 6BT,10007784
UCL  Main Campus,0,25,3,EC2R, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,EC2V, WC1E 6BT,10007784
UCL  Main Campus,0,20,3,EC2Y, WC1E 6BT,10007784
UCL  Main Campus,0,31,3,EC3, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,EC3A, WC1E 6BT,10007784
UCL  Main Campus,0,33,3,EC3M, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,EC3N, WC1E 6BT,10007784
UCL  Main Campus,0,19,3,EC3P, WC1E 6BT,10007784
UCL  Main Campus,0,33,3,EC3R, WC1E 6BT,10007784
UCL  Main Campus,0,30,3,EC3V, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,EC4, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,EC4A, WC1E 6BT,10007784
UCL  Main Campus,0,29,3,EC4M, WC1E 6BT,10007784
UCL  Main Campus,0,30,3,EC4N, WC1E 6BT,10007784
UCL  Main Campus,0,32,3,EC4R, WC1E 6BT,10007784
UCL  Main Campus,0,26,4,EC4V, WC1E 6BT,10007784
UCL  Main Campus,0,24,4,EC4Y, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,N1, WC1E 6BT,10007784
UCL  Main Campus,0,49,5,N10, WC1E 6BT,10007784
UCL  Main Campus,0,43,4,N11, WC1E 6BT,10007784
UCL  Main Campus,0,48,3,N12, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,N13, WC1E 6BT,10007784
UCL  Main Campus,0,44,4,N14, WC1E 6BT,10007784
UCL  Main Campus,0,34,4,N15, WC1E 6BT,10007784
UCL  Main Campus,0,51,3,N16, WC1E 6BT,10007784
UCL  Main Campus,0,49,5,N17, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,N18, WC1E 6BT,10007784
UCL  Main Campus,0,34,3,N19, WC1E 6BT,10007784
UCL  Main Campus,0,39,3,N2, WC1E 6BT,10007784
UCL  Main Campus,0,54,3,N20, WC1E 6BT,10007784
UCL  Main Campus,0,48,4,N21, WC1E 6BT,10007784
UCL  Main Campus,0,37,4,N22, WC1E 6BT,10007784
UCL  Main Campus,0,36,3,N3, WC1E 6BT,10007784
UCL  Main Campus,0,32,4,N4, WC1E 6BT,10007784
UCL  Main Campus,0,35,3,N5, WC1E 6BT,10007784
UCL  Main Campus,0,38,3,N6, WC1E 6BT,10007784
UCL  Main Campus,0,37,3,N7, WC1E 6BT,10007784
UCL  Main Campus,0,43,4,N8, WC1E 6BT,10007784
UCL  Main Campus,0,49,4,N9, WC1E 6BT,10007784
UCL  Main Campus,0,19,1,NW1, WC1E 6BT,10007784
UCL  Main Campus,0,53,3,NW10, WC1E 6BT,10007784
UCL  Main Campus,0,40,3,NW11, WC1E 6BT,10007784
UCL  Main Campus,0,48,5,NW2, WC1E 6BT,10007784
UCL  Main Campus,0,35,3,NW3, WC1E 6BT,10007784
UCL  Main Campus,0,48,3,NW4, WC1E 6BT,10007784
UCL  Main Campus,0,25,3,NW5, WC1E 6BT,10007784
UCL  Main Campus,0,36,4,NW6, WC1E 6BT,10007784
UCL  Main Campus,0,52,4,NW7, WC1E 6BT,10007784
UCL  Main Campus,0,30,4,NW8, WC1E 6BT,10007784
UCL  Main Campus,0,60,3,NW9, WC1E 6BT,10007784
UCL  Main Campus,0,36,3,SE1, WC1E 6BT,10007784
UCL  Main Campus,0,64,4,SE10, WC1E 6BT,10007784
UCL  Main Campus,0,33,3,SE11, WC1E 6BT,10007784
UCL  Main Campus,0,75,4,SE12, WC1E 6BT,10007784
UCL  Main Campus,0,67,5,SE13, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,SE14, WC1E 6BT,10007784
UCL  Main Campus,0,66,5,SE15, WC1E 6BT,10007784
UCL  Main Campus,0,40,4,SE16, WC1E 6BT,10007784
UCL  Main Campus,0,47,3,SE17, WC1E 6BT,10007784
UCL  Main Campus,0,70,5,SE18, WC1E 6BT,10007784
UCL  Main Campus,0,69,4,SE19, WC1E 6BT,10007784
UCL  Main Campus,0,84,7,SE2, WC1E 6BT,10007784
UCL  Main Campus,0,63,5,SE20, WC1E 6BT,10007784
UCL  Main Campus,0,64,4,SE21, WC1E 6BT,10007784
UCL  Main Campus,0,70,5,SE22, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,SE23, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,SE24, WC1E 6BT,10007784
UCL  Main Campus,0,62,5,SE25, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,SE26, WC1E 6BT,10007784
UCL  Main Campus,0,54,5,SE27, WC1E 6BT,10007784
UCL  Main Campus,0,90,6,SE28, WC1E 6BT,10007784
UCL  Main Campus,0,76,4,SE3, WC1E 6BT,10007784
UCL  Main Campus,0,55,5,SE4, WC1E 6BT,10007784
UCL  Main Campus,0,53,4,SE5, WC1E 6BT,10007784
UCL  Main Campus,0,76,4,SE6, WC1E 6BT,10007784
UCL  Main Campus,0,68,6,SE7, WC1E 6BT,10007784
UCL  Main Campus,0,64,7,SE8, WC1E 6BT,10007784
UCL  Main Campus,0,72,4,SE9, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,SW1, WC1E 6BT,10007784
UCL  Main Campus,0,50,5,SW10, WC1E 6BT,10007784
UCL  Main Campus,0,50,4,SW11, WC1E 6BT,10007784
UCL  Main Campus,0,44,4,SW12, WC1E 6BT,10007784
UCL  Main Campus,0,60,5,SW13, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,SW14, WC1E 6BT,10007784
UCL  Main Campus,0,62,5,SW15, WC1E 6BT,10007784
UCL  Main Campus,0,55,4,SW16, WC1E 6BT,10007784
UCL  Main Campus,0,47,4,SW17, WC1E 6BT,10007784
UCL  Main Campus,0,58,5,SW18, WC1E 6BT,10007784
UCL  Main Campus,0,54,5,SW19, WC1E 6BT,10007784
UCL  Main Campus,0,31,4,SW1A, WC1E 6BT,10007784
UCL  Main Campus,0,26,3,SW1E, WC1E 6BT,10007784
UCL  Main Campus,0,29,4,SW1H, WC1E 6BT,10007784
UCL  Main Campus,0,33,4,SW1P, WC1E 6BT,10007784
UCL  Main Campus,0,28,3,SW1V, WC1E 6BT,10007784
UCL  Main Campus,0,27,3,SW1W, WC1E 6BT,10007784
UCL  Main Campus,0,34,3,SW1X, WC1E 6BT,10007784
UCL  Main Campus,0,33,4,SW1Y, WC1E 6BT,10007784
UCL  Main Campus,0,41,4,SW2, WC1E 6BT,10007784
UCL  Main Campus,0,57,5,SW20, WC1E 6BT,10007784
