id,postcode,latitude,longitude
1,E1 0,51.514,-0.050348
2,E1 1,51.5162,-0.0633353
3,E1 2,51.5156,-0.0584089
4,E1 3,51.5184,-0.0511105
5,E1 4,51.5216,-0.0480417
6,E1 5,51.521364,-0.062977
7,E1 6,51.5203,-0.0713458
8,E1 7,51.5169,-0.0723544
9,E1 8,51.5141,-0.0660689
10,E1 9,51.507,-0.0596461
11,E1W 1,51.5093,-0.0668736
12,E1W 2,51.5084,-0.0605253
13,E1W 3,51.5104,-0.0531996
14,E1W 9,51.519,-0.0581073
15,E2 0,51.5287,-0.0532368
16,E2 2,51.5327,-0.060419
17,E2 6,51.5275,-0.063462
18,E2 7,51.5287,-0.0696272
19,E2 8,51.5328,-0.0694433
20,E2 9,51.5318,-0.0565741
21,E3 2,51.5324,-0.0252395
22,E3 3,51.5247,-0.0168857
23,E3 4,51.5232,-0.0277442
24,E3 5,51.5317,-0.0336186
25,E3 9,51.5302,-0.0289073
26,E4 0,51.6333,0.00815583
27,E4 6,51.6261,0.00315577
28,E4 7,51.6341,-0.001732
29,E4 8,51.6179,-0.016265
30,E4 9,51.615,-0.00230155
31,E5 0,51.5559,-0.0483295
32,E5 5,51.56,-0.0575564
33,E5 8,51.5578,-0.0590367
34,E5 9,51.5642,-0.0556284
35,E6 1,51.5344,0.0458349
36,E6 2,51.5337,0.0584454
37,E6 3,51.526,0.0507637
38,E6 4,51.5183,0.0574895
39,E6 5,51.5168,0.0544147
40,E6 6,51.5227,0.0624507
41,E6 7,51.5134,0.077731
42,E6 9,51.5264,0.0575599
43,E7 0,51.5507,0.0263705
44,E7 7,51.5488,0.0236617
45,E7 8,51.5451,0.0314574
46,E7 9,51.5468,0.0216701
47,E8 1,51.5445,-0.0602667
48,E8 2,51.547,-0.0678943
49,E8 3,51.5412,-0.0657239
50,E8 4,51.5371,-0.0676757
51,E8 9,51.5332,-0.0602701
52,E9 5,51.5443,-0.0375853
53,E9 6,51.5447,-0.0497418
54,E9 7,51.538,-0.0514411
55,E9 9,51.5327,-0.060419
56,E10 5,51.5655,-0.012307
57,E10 6,51.5708,-0.00695412
58,E10 7,51.5699,-0.0203982
59,E10 9,51.5709,-0.00886847
60,E11 1,51.5719,0.00887659
61,E11 2,51.5747,0.0234663
62,E11 3,51.5626,0.012369
63,E11 4,51.5616,0.00430583
64,E11 9,51.564,0.00880362
65,E12 5,51.5544,0.0504403
66,E12 6,51.5479,0.0517542
67,E12 9,51.5519,0.0462161
68,E13 0,51.531,0.0226343
69,E13 3,51.5293,0.0232334
70,E13 8,51.5239,0.0240747
71,E13 9,51.5294,0.0311711
72,E14 0,51.512,-0.00907712
73,E14 1,51.5132,-0.0281438
74,E14 2,51.5098,-0.00725396
75,E14 3,51.4963,-0.0167434
76,E14 4,51.5067,-0.0239823
77,E14 5,51.5077,-0.0213373
78,E14 6,51.5147,-0.0183161
79,E14 7,51.5144,-0.0322141
80,E14 8,51.5048,-0.0273319
81,E14 9,51.5018,-0.0172069
82,E15 1,51.5438,0.00172832
83,E15 2,51.5392,-0.00685211
84,E15 3,51.5327,0.00636493
85,E15 4,51.539,0.00480498
86,E15 9,51.5321,-0.00515735
87,E16 1,51.5116,0.0132316
88,E16 2,51.5038,0.0431297
89,E16 3,51.5134,0.0215545
90,E16 4,51.5191,0.00670629
91,E16 9,51.5191,-0.00562081
92,E17 0,51.5856,-0.0179631
93,E17 3,51.5875,-0.00804867
94,E17 4,51.5916,-0.0122447
95,E17 5,51.5944,-0.0267272
96,E17 6,51.5879,-0.0299867
97,E17 7,51.5828,-0.0277143
98,E17 8,51.5776,-0.0246895
99,E17 9,51.5826,-0.0129017
100,E18 1,51.5922,0.029758
101,E18 2,51.5929,0.0217393
102,E18 9,51.592,0.026577
103,E20 1,51.5466,-0.00897555
104,E20 2,51.5408,-0.0141607
105,E20 3,51.5492,-0.0182988
106,E77 1,51.5139,-0.0691291
107,E98 1,51.5086,-0.0641011
108,EC1A 1,51.5243,-0.111708
109,EC1A 2,51.5172,-0.104926
110,EC1A 4,51.519,-0.0992586
111,EC1A 7,51.5179,-0.099534
112,EC1A 9,51.519,-0.102372
113,EC1M 3,51.5212,-0.107538
114,EC1M 4,51.5218,-0.103575
115,EC1M 5,51.5218,-0.104077
116,EC1M 6,51.5205,-0.101718
117,EC1M 7,51.5229,-0.100346
118,EC1N 2,51.5182,-0.10943
119,EC1N 6,51.5189,-0.107599
120,EC1N 7,51.5207,-0.110735
121,EC1N 8,51.5206,-0.10875
122,EC1P 1,51.5245,-0.112059
123,EC1R 0,51.5243,-0.106835
124,EC1R 1,51.5282,-0.109081
125,EC1R 3,51.5236,-0.109388
126,EC1R 4,51.5252,-0.110163
127,EC1R 5,51.5225,-0.110599
128,EC1V 0,51.5249,-0.102368
129,EC1V 1,51.5295,-0.0992723
130,EC1V 2,51.5281,-0.0968869
131,EC1V 3,51.5257,-0.0978929
132,EC1V 4,51.5255,-0.10425
133,EC1V 7,51.5274,-0.103639
134,EC1V 8,51.5276,-0.0981041
135,EC1V 9,51.5253,-0.0937435
136,EC1Y 0,51.5232,-0.0978479
137,EC1Y 1,51.5237,-0.0896231
138,EC1Y 2,51.5234,-0.0884877
139,EC1Y 4,51.5209,-0.0910991
140,EC1Y 7,51.5315,-0.105599
141,EC1Y 8,51.5235,-0.0943533
142,EC2A 1,51.5215,-0.0934467
143,EC2A 2,51.5216,-0.0869082
144,EC2A 3,51.5248,-0.0863368
145,EC2A 4,51.5238,-0.0863146
146,EC2M 1,51.5175,-0.086715
147,EC2M 2,51.52,-0.088799
148,EC2M 3,51.5189,-0.0849188
149,EC2M 4,51.518,-0.0831752
150,EC2M 5,51.518,-0.0905051
151,EC2M 6,51.5192,-0.0921604
152,EC2M 7,51.5179,-0.0857244
153,EC2N 1,51.5156,-0.0863447
154,EC2N 2,51.516,-0.0883896
155,EC2N 3,51.5164,-0.0881082
156,EC2N 4,51.5165,-0.0874827
157,EC2P 2,51.524,-0.110351
158,EC2R 5,51.5172,-0.0925541
159,EC2R 6,51.5169,-0.0924439
160,EC2R 7,51.5165,-0.0905042
161,EC2R 8,51.5154,-0.0924685
162,EC2V 5,51.5172,-0.0942436
163,EC2V 6,51.5146,-0.0954381
164,EC2V 7,51.5164,-0.0951636
165,EC2V 8,51.515,-0.0945234
166,EC2Y 5,51.5183,-0.0950271
167,EC2Y 8,51.5213,-0.099894
168,EC2Y 9,51.5199,-0.0926126
169,EC3A 1,51.5132,-0.0816174
170,EC3A 2,51.5137,-0.0815781
171,EC3A 3,51.516,-0.0872405
172,EC3A 4,51.5139,-0.0822633
173,EC3A 5,51.5139,-0.0792636
174,EC3A 6,51.5157,-0.0850938
175,EC3A 7,51.5157,-0.0808297
176,EC3A 8,51.5151,-0.0829237
177,EC3B 0,51.514,-0.081823
178,EC3M 1,51.5108,-0.085082
179,EC3M 2,51.5133,-0.083056
180,EC3M 3,51.5116,-0.0836216
181,EC3M 4,51.5128,-0.0801762
182,EC3M 5,51.5129,-0.082897
183,EC3M 6,51.512,-0.0847408
184,EC3M 7,51.5134,-0.0854003
185,EC3M 8,51.5109,-0.084021
