"campusId","distance","duration","legs","originPostcode","postcode","ukprn"
"UCL  Main Campus","6.0","24.0","0","E1"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","51.0","0","E10"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","56.0","0","E11"," WC1E 6BT","10007784"
"UCL  Main Campus","15.0","56.0","0","E12"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","54.0","0","E13"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","34.0","0","E14"," WC1E 6BT","10007784"
"UCL  Main Campus","12.0","48.0","0","E15"," WC1E 6BT","10007784"
"UCL  Main Campus","17.0","53.0","0","E16"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","30.0","0","E17"," WC1E 6BT","10007784"
"UCL  Main Campus","17.0","56.0","0","E18"," WC1E 6BT","10007784"
"UCL  Main Campus","8.0","41.0","0","E1W"," WC1E 6BT","10007784"
"UCL  Main Campus","7.0","47.0","0","E2"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","28.0","0","E3"," WC1E 6BT","10007784"
"UCL  Main Campus","18.0","66.0","0","E4"," WC1E 6BT","10007784"
"UCL  Main Campus","11.0","61.0","0","E5"," WC1E 6BT","10007784"
"UCL  Main Campus","16.0","68.0","0","E6"," WC1E 6BT","10007784"
"UCL  Main Campus","13.0","49.0","0","E7"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","34.0","0","E8"," WC1E 6BT","10007784"
"UCL  Main Campus","9.0","42.0","0","E9"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","16.0","0","EC1"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","10.0","0","EC1A"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","12.0","0","EC1M"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","12.0","0","EC1N"," WC1E 6BT","10007784"
"UCL  Main Campus","3.0","17.0","0","EC1R"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","20.0","0","EC1V"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","17.0","0","EC1Y"," WC1E 6BT","10007784"
"UCL  Main Campus","4.0","14.0","0","EC2"," WC1E 6BT","10007784"
